,id,title,rating,user
13,481558,Wide Sargasso Sea,0,11
14,18663248,"A Husband's Regret (Unwanted, #2)",0,11
15,18775388,The Actress,0,11
16,18078311,Letters of Note: An Eclectic Collection of Correspondence Deserving of a Wider Audience,0,11
17,18339643,Thunderstruck & Other Stories,0,11
18,17934367,"Hotel Florida: Truth, Love, and Death in the Spanish Civil War",0,11
19,18498529,"Lovers at the Chameleon Club, Paris 1932",0,11
0,33724,Can You Keep a Secret?,0,12
0,26114130,Everfair,0,13
1,26813703,The City: A Cyberfunk Anthology,5,13
2,26221787,DL Beginnings,0,13
3,741882,Pride of Carthage,5,13
4,24916776,"Witch Way Is Up (Toil, Trouble and Temptation, #3)",0,13
5,18689572,The Seedbearing Prince: Part II (World Breach #2),0,13
6,18753656,Lagoon,0,13
7,1212627,The Shadow Speaker,0,13
8,17407801,Steamfunk!,0,13
9,8555950,Red/Shift,0,13
10,9477059,Winter of the Wild Hunt,0,13
11,18136111,Iniko,0,13
12,13448995,Breaking Free,0,13
13,18291883,"Watch The Shadows (The Legacy Chronicles, #1)",5,13
14,20754143,Amber and the Hidden City,0,13
15,19490456,"Ghosts of Koa: The First Book of Ezekiel, Volumes I and II: The Given and The Taken",5,13
16,19490498,The Taken (The Books of Ezekiel 2),5,13
17,17736989,The Given (The Books of Ezekiel 1),5,13
18,6759,Infinite Jest,0,13
19,20706149,The Scythe,0,13
0,51085433,The Chanel Sisters,5,15
1,35071806,Wickwythe Hall,5,15
2,36041013,Murder in the One Percent,5,15
3,18662528,Naughty Nana,5,15
4,18114464,Cementville,5,15
5,16162315,The Midwife's Revolt,0,15
6,14289613,Through Christina's Eyes,5,15
0,138069,The Three Pigs,0,17
0,10616322,"Allegiant (Divergent, #3)",0,18
0,41865,"Twilight (Twilight, #1)",0,19
0,9778945,The Shallows: What the Internet Is Doing to Our Brains,0,21
0,15799166,"Release Me (Stark Trilogy, #1)",0,22
1,4800764,"Sweet Persuasion (Sweet, #2)",0,22
2,17157641,"Temptation (Temptation, #1)",0,22
3,17559077,"Sweet Temptation (Sweet, #1)",0,22
4,13517535,"Thoughtless (Thoughtless, #1)",0,22
5,15745950,"Walking Disaster (Beautiful, #2)",0,22
6,13596809,"Reflected in You (Crossfire, #2)",0,22
7,51985,Existentialism is a Humanism,0,22
8,72657,Pedagogy of the Oppressed,0,22
9,18135,Romeo and Juliet,0,22
10,7624,Lord of the Flies,0,22
11,105992,Helter Skelter: The True Story of the Manson Murders,0,22
